empresa,pais_sede,rol,nota,fuente
Wilmar International,Singapur,Trader/procesador,Uno de los mayores traders de aceite de coco y aceites comestibles,Mordor / Tendata
Cargill,EE.UU. (op. Indonesia),Trader/procesador,PT Cargill Indonesia ~9% de un set de exportaciones rastreado; ~21% con sus dos ramas,Tendata
Franklin Baker Company,Filipinas,Procesador/exportador,Gran procesador de coco filipino,Perfiles de empresa
Celebes Coconut Corporation,Filipinas,Productor,Crudo/RBD/virgen; posicionamiento organico y Fair Trade,Perfiles de empresa
Primex Coconut Products,Filipinas,Productor,Productor filipino,Perfiles de empresa
United Coconut Chemicals (Cocochem),Filipinas,Oleoquimica,Derivados quimicos del coco,Perfiles de empresa
Peter Cremer,Alemania,Procesador oleoquimico,Comprador/procesador,Perfiles de empresa
P&G Chemicals,EE.UU.,Oleoquimica,Comprador/procesador,Perfiles de empresa
Marico Ltd,India,FMCG,Marca de consumo (Parachute),Mordor
Palmtop Sdn Bhd,Malasia,Exportador,~4% de un set de exportaciones rastreado,Tendata
