anio,cif_usd,fob_usd,kg,transacciones,cif_crudo_usd,cif_refinado_usd,usd_kg_cif,nota
2015,1770.0,1195.0,116.0,4,0.0,1770.0,15.0,
2016,44617.0,30320.0,8363.0,15,21512.0,23105.0,5.0,
2017,93013.0,75983.0,23541.0,19,9794.0,83219.0,4.0,
2018,53860.0,59549.0,18209.0,15,14786.0,39074.0,3.0,
2019,113209.0,97473.0,34298.0,22,34087.0,79122.0,3.0,
2020,304996.0,267177.0,43029.0,24,9230.0,295766.0,7.0,
2021,198360.0,130267.0,48551.0,12,21508.0,176852.0,4.0,
2022,40298.0,40088.0,7564.0,8,0.0,40298.0,5.0,
2023,977482.0,653269.0,76056.0,25,63988.0,913494.0,13.0,
2024,155637.0,98256.0,44155.0,14,39262.0,116375.0,4.0,
2025,273096.0,196193.0,104188.0,13,36787.0,236309.0,3.0,
2026,15003.0,12305.0,1623.0,7,10179.0,4824.0,9.0,año parcial
