origen,cif_usd,kg,transacciones,ventana
ALEMANIA,69565.0,13700.0,4,2015-2026
ARGENTINA,117.0,3.0,1,2015-2026
BRASIL,7549.0,30669.0,32,2015-2026
CHILE,4.0,1.0,1,2015-2026
ECUADOR,16.0,4.0,1,2015-2026
ESPAÐA,2474.0,102.0,3,2015-2026
ESTADOS UNIDOS,382431.0,47942.0,63,2015-2026
FILIPINAS,58759.0,17915.0,4,2015-2026
INDIA,8954.0,1168.0,6,2015-2026
MALASIA,810274.0,18410.0,6,2015-2026
MEXICO,2.0,4.0,1,2015-2026
PAISES BAJOS,321392.0,67801.0,11,2015-2026
PERU,1.0,1.0,1,2015-2026
SINGAPUR,191.0,2.0,1,2015-2026
SRI LANKA,526389.0,198519.0,36,2015-2026
TAILANDIA,56868.0,10522.0,5,2015-2026
VIET-NAM,26355.0,2930.0,2,2015-2026
ALEMANIA,69485.0,13697.0,2,2023-2025
BRASIL,2786.0,3843.0,7,2023-2025
ECUADOR,16.0,4.0,1,2023-2025
ESPAÐA,2474.0,102.0,3,2023-2025
ESTADOS UNIDOS,6275.0,1811.0,6,2023-2025
INDIA,4012.0,573.0,2,2023-2025
MALASIA,810229.0,18407.0,4,2023-2025
MEXICO,2.0,4.0,1,2023-2025
PAISES BAJOS,168343.0,29723.0,5,2023-2025
SRI LANKA,316315.0,153307.0,20,2023-2025
VIET-NAM,26278.0,2928.0,1,2023-2025
