anio,cif_usd,kg,seccion,origen
2015.0,392405.0,561315.0,anual,
2016.0,405131.0,558218.0,anual,
2017.0,197041.0,287342.0,anual,
2018.0,658876.0,802654.0,anual,
2019.0,615670.0,706350.0,anual,
2020.0,251005.0,263234.0,anual,
2021.0,197877.0,164549.0,anual,
2022.0,678537.0,574403.0,anual,
2023.0,876490.0,875784.0,anual,
2024.0,349633.0,336747.0,anual,
2025.0,236021.0,193594.0,anual,
2026.0,119386.0,160240.0,anual,
,1664242.0,,origen,INDONESIA
,1356739.0,,origen,MALASIA
,1088970.0,,origen,VIET-NAM
,448315.0,,origen,SRI LANKA
,383260.0,,origen,SINGAPUR
,12992.0,,origen,INDIA
,6954.0,,origen,GIBRALTAR
,6391.0,,origen,REINO UNIDO
,3081.0,,origen,CHILE
,2439.0,,origen,SUIZA
,1274.0,,origen,ESTADOS UNIDOS
,1233.0,,origen,ESPAÐA
,841.0,,origen,PERU
,511.0,,origen,TAILANDIA
,350.0,,origen,BULGARIA
,181.0,,origen,CHINA
,168.0,,origen,ESPAðA
,85.0,,origen,BRASIL
,43.0,,origen,COLOMBIA
,3.0,,origen,ECUADOR
